date,open,high,low,close,pre_close,change,pct_chg,volume,amount
2015-09-21,13.06,13.2,13.06,13.18,13.12,0.06,0.46,471720.75,620313.0318
2015-09-22,13.23,13.35,13.18,13.26,13.18,0.08,0.61,451240.48,598058.332
2015-09-23,13.15,13.26,13.1,13.15,13.26,-0.11,-0.83,320597.31,422422.5267
2015-09-24,13.2,13.21,13.05,13.09,13.15,-0.06,-0.46,443596.99,581284.1616
2015-09-25,13.02,13.09,12.85,12.9,13.09,-0.19,-1.45,442280.17,573792.7728
2015-09-28,12.88,12.99,12.78,12.85,12.9,-0.05,-0.39,412656.86,530321.0883
2015-09-29,12.75,12.79,12.52,12.6,12.85,-0.25,-1.95,597878.53,757134.5861
2015-09-30,12.67,12.81,12.57,12.73,12.6,0.13,1.03,489518.62,619877.2056
2015-10-08,13.25,13.32,13.03,13.07,12.73,0.34,2.67,820862.35,1079570.3506
2015-10-09,13.13,13.28,13.07,13.23,13.07,0.16,1.22,634505.0,835874.0548
2015-10-12,13.23,13.64,13.21,13.48,13.23,0.25,1.89,784171.53,1053773.0595
2015-10-13,13.41,13.56,13.35,13.47,13.48,-0.01,-0.07,568893.46,766321.053
2015-10-14,13.32,13.47,13.25,13.28,13.47,-0.19,-1.41,544904.67,726780.3858
2015-10-15,13.3,13.56,13.28,13.52,13.28,0.24,1.81,438053.9,588366.358
2015-10-16,13.53,13.75,13.52,13.65,13.52,0.13,0.96,506452.91,690108.1386
2015-10-19,13.7,13.7,13.4,13.53,13.65,-0.12,-0.88,574487.92,775820.7409
2015-10-20,13.43,13.65,13.42,13.55,13.53,0.02,0.15,407246.37,550221.1469
2015-10-21,13.55,13.61,13.2,13.23,13.55,-0.32,-2.36,558005.09,750692.8148
2015-10-22,13.23,13.4,13.17,13.35,13.23,0.12,0.91,452334.18,602537.139
2015-10-23,13.36,13.8,13.31,13.74,13.35,0.39,2.92,675645.69,919824.0515
2015-10-26,13.88,13.97,13.58,13.67,13.74,-0.07,-0.51,780360.45,1073356.6725
2015-10-27,13.55,13.72,13.32,13.69,13.67,0.02,0.15,344633.02,468109.4106
2015-10-28,13.68,13.83,13.66,13.66,13.69,-0.03,-0.22,344164.9,472561.6454
2015-10-29,13.66,13.73,13.54,13.62,13.66,-0.04,-0.29,278917.76,380269.9227
2015-10-30,13.7,13.75,13.6,13.67,13.62,0.05,0.37,298317.92,407329.918
2015-11-02,13.61,13.67,13.54,13.56,13.67,-0.11,-0.8,328989.35,447194.3793
2015-11-03,13.56,13.7,13.54,13.66,13.56,0.1,0.74,297604.21,406129.0334
2015-11-04,13.65,14.1,13.61,14.08,13.66,0.42,3.07,768654.44,1071494.1526
2015-11-05,14.05,14.58,13.95,14.12,14.08,0.04,0.28,923180.52,1316863.7579
2015-11-06,14.11,14.31,14.06,14.21,14.12,0.09,0.64,501764.57,710839.3682
2015-11-09,14.21,14.66,14.18,14.4,14.21,0.19,1.34,830505.01,1202251.924
2015-11-10,14.33,14.37,14.2,14.27,14.4,-0.13,-0.9,524600.45,749031.9089
2015-11-11,14.21,14.32,14.1,14.17,14.27,-0.1,-0.7,578612.55,822609.3092
2015-11-12,14.24,14.25,14.01,14.09,14.17,-0.08,-0.56,534850.66,755530.6772
2015-11-13,14.0,14.05,13.83,13.9,14.09,-0.19,-1.35,383628.08,534644.203
2015-11-16,13.81,14.0,13.71,14.0,13.9,0.1,0.72,320707.08,445294.0963
2015-11-17,14.03,14.3,13.9,14.0,14.0,0.0,0.0,651299.51,918176.2724
2015-11-18,14.07,15.27,14.01,14.67,14.0,0.67,4.79,1753443.74,2576146.3066
2015-11-19,14.6,14.6,14.18,14.5,14.67,-0.17,-1.16,886044.41,1272044.2444
2015-11-20,14.45,14.72,14.37,14.49,14.5,-0.01,-0.07,732482.95,1064007.0011
2015-11-23,14.5,14.64,14.32,14.37,14.49,-0.12,-0.83,629288.1,911464.9076
2015-11-24,14.37,14.55,14.14,14.5,14.37,0.13,0.9,745686.58,1068471.9801
2015-11-25,14.42,14.72,14.39,14.56,14.5,0.06,0.41,581818.63,848024.6591
2015-11-26,14.55,14.62,14.47,14.5,14.56,-0.06,-0.41,383748.22,558000.8154
2015-11-27,14.43,14.65,14.24,14.26,14.5,-0.24,-1.66,888155.58,1286416.5869
2015-11-30,14.29,15.25,14.28,15.07,14.26,0.81,5.68,2020009.99,3029921.8054
